van_precinct_id,county_name,van_precinct_name,Current Region,Current Turf,Comments,HDs,voters,supporters,,
295844,Fairfax,306 - Great Falls,R02 - Fairfax,R02H - Reston,,6,2326,1147,,
2228515,Fairfax,245 - Piney Run,R02 - Fairfax,R02H - Reston,,6,1125,704,,
295827,Fairfax,222 - Reston #3,R02 - Fairfax,R02H - Reston,,7,2388,1915,,
295864,Fairfax,329 - Seneca,R02 - Fairfax,R02H - Reston,,6,3814,2077,,
295835,Fairfax,234 - Aldrin,R02 - Fairfax,R02H - Reston,,7,3129,2254,,
295859,Fairfax,323 - Shouse,R02 - Fairfax,R02H - Reston,,6,2395,1506,,
295862,Fairfax,327 - Sugarland,R02 - Fairfax,R02H - Reston,,7,3838,2361,,
295819,Fairfax,209 - Reston #2,R02 - Fairfax,R02H - Reston,,7,4568,3297,,
295858,Fairfax,322 - Forestville,R02 - Fairfax,R02H - Reston,,6,3561,1796,,
295834,Fairfax,233 - North Point,R02 - Fairfax,R02H - Reston,,7,2639,1676,,
1569566,Fairfax,240 - Colvin,R02 - Fairfax,R02H - Reston,,6,2691,1542,,
295944,Fairfax,701 - Blake,R02 - Fairfax,R02I - Vienna,,11,5283,3681,,
2302165,Loudoun,631 - Marblehead,R02 - Fairfax,R02I - Vienna,,28,2697,1504,,
295968,Fairfax,732 - Oaktree Crossing,R02 - Fairfax,R02I - Vienna,,11,4198,2532,,
2302182,Loudoun,716 - Ridgetop,R02 - Fairfax,R02I - Vienna,,28,2277,1398,,
1854593,Loudoun,123 - Cardinal Ridge,R02 - Fairfax,R02I - Vienna,,27,1891,1018,,
2228467,Fairfax,241 - Flint Hill #2,R02 - Fairfax,R02I - Vienna,,11,1637,1103,,
2302184,Loudoun,430 - Harmony,R02 - Fairfax,R03C - HD 30,,30,1460,532,,R03B - HD 21
295820,Fairfax,213 - Vienna #1,R02 - Fairfax,R02I - Vienna,,12,4488,3062,,
295967,Fairfax,731 - Tysons,R02 - Fairfax,R02I - Vienna,,12,3463,2279,,
295963,Fairfax,727 - Oakton,R02 - Fairfax,R02I - Vienna,,11,2780,1667,,
